News_Headline,Link_Of_News,Source,Stated_On,Date,Label
NFL will fly a “‘Black Lives Matter’ flag under the American flag at games.”,https://www.politifact.com/factchecks/2020/jun/12/facebook-posts/nfl-not-planning-fly-black-lives-matter-flag-games/,Facebook posts," June 10, 2020"," June 12, 2020",FALSE
"Said New York Gov. Andrew Cuomo said that “with all the technology we have, we don't need actual classrooms.”",https://www.politifact.com/factchecks/2020/jun/12/beth-parlato/congressional-candidate-stretches-cuomos-remarks-e/,Beth Parlato," May 7, 2020 i"," June 12, 2020",mostly-true
Wearing the Kente cloth “worn by affluent African slave traders” is “like honoring Jews by wearing swastikas.”,https://www.politifact.com/factchecks/2020/jun/12/viral-image/bloggers-twist-history-say-democrats-wore-symbol-s/,Viral image," June 10, 2020"," June 12, 2020",FALSE
"“Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”",https://www.politifact.com/factchecks/2020/jun/12/sara-meaney/yes-state-has-seen-drop-more-billion-tourism-dolla/,Sara Meaney," May 24, 2020 "," June 12, 2020",TRUE
Says photo shows that Chick-fil-A distributed “Back the Blue” T-shirts to employees in response to recent protests over police brutality.,https://www.politifact.com/factchecks/2020/jun/11/facebook-posts/photo-chick-fil-employees-back-blue-shirts-taken-o/,Facebook posts," June 2, 2020 "," June 11, 2020",FALSE
The World Health Organization “now admits that asymptomatic transmission of COVID-19 is very rare.”,https://www.politifact.com/factchecks/2020/jun/11/facebook-posts/who-comment-sparks-i-told-you-so-about-coronavirus/,Facebook posts," June 9, 2020 "," June 11, 2020",half-true
“George Floyd at his own funeral and George Floyd three days ago.”,https://www.politifact.com/factchecks/2020/jun/11/viral-image/these-photos-dont-prove-george-floyd-alive/,Viral image," June 10, 2020"," June 11, 2020",pants-fire
"""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”",https://www.politifact.com/factchecks/2020/jun/11/planned-parenthood/yes-if-federal-abortion-law-were-overturned-wiscon/,Planned Parenthood," March 4, 2020"," June 11, 2020",TRUE
"""Hillary Clinton is on trial for Bengazi (sic) this week.”",https://www.politifact.com/factchecks/2020/jun/11/facebook-posts/no-hillary-clinton-isnt-trial-over-terror-attack-b/,Facebook posts," June 4, 2020 "," June 11, 2020",FALSE
"“Today, the gap between African American and white homeownership is larger than it was in the late 1960s.”",https://www.politifact.com/factchecks/2020/jun/11/joe-biden/homeownership-gap-between-white-and-black-american/,Joe Biden," June 10, 2020"," June 11, 2020",TRUE
"“Trump supporters tackled an Antifa thug, unmasked him, duct taped him to an electrical box.”",https://www.politifact.com/factchecks/2020/jun/11/viral-image/no-photo-doesnt-show-antifa-member-taped-trump-sup/,Viral image," June 10, 2020"," June 11, 2020",FALSE
“It wasn't a big deal when Bill Clinton held up the Bible in front of the same exact church (as Donald Trump).”,https://www.politifact.com/factchecks/2020/jun/11/facebook-posts/no-donald-trump-church-photo-op-was-not-same-bill-/,Facebook posts," June 3, 2020 "," June 11, 2020",FALSE
Says a photograph shows U.S. soldiers sleeping on the ground after Washington D.C.’s mayor kicked them out of local hotels.,https://www.politifact.com/factchecks/2020/jun/10/viral-image/national-guard-soldiers-werent-forced-sleep-dc-str/,Viral image," June 6, 2020 "," June 10, 2020",barely-true
“How many of you are aware that the female governor of Michigan is the niece of George Soros?”,https://www.politifact.com/factchecks/2020/jun/10/facebook-posts/no-gretchen-whitmer-isnt-george-soross-niece/,Facebook posts," June 1, 2020 "," June 10, 2020",pants-fire
“More than 20 police officers are dead now because of the riots.”,https://www.politifact.com/factchecks/2020/jun/10/facebook-posts/post-inflates-number-police-killed-connection-prot/,Facebook posts," June 5, 2020 "," June 10, 2020",FALSE
"""Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment ... Was aiming scanner. Could be a set up?""",https://www.politifact.com/factchecks/2020/jun/09/donald-trump/trumps-baseless-conspiracy-about-protester-shoved-/,Donald Trump," June 9, 2020 "," June 9, 2020",FALSE
"A man’s injuries from falling after police officers shoved him in Buffalo, N.Y. were staged.",https://www.politifact.com/factchecks/2020/jun/09/viral-image/no-evidence-buffalo-protesters-injuries-were-stage/,Viral image," June 5, 2020 "," June 9, 2020",FALSE
"Says Donald Trump won the Ellis Island award for ""patriotism, tolerance, brotherhood and diversity” alongside Muhammad Ali and Rosa Parks.",https://www.politifact.com/factchecks/2020/jun/09/facebook-posts/trumps-ellis-island-award-1980s-was-not-brotherhoo/,Facebook posts," September 10,"," June 9, 2020",FALSE
Videos show President Donald Trump saying “I can’t breathe.”,https://www.politifact.com/factchecks/2020/jun/09/facebook-posts/trump-saying-i-cant-breathe-video-isnt-referring-g/,Facebook posts," June 9, 2020 "," June 9, 2020",FALSE
Donald Trump “cancelled Bill Gates project known as ID2020.”,https://www.politifact.com/factchecks/2020/jun/09/facebook-posts/no-trump-has-not-canceled-id2020-digital-id-progra/,Facebook posts," June 3, 2020 "," June 9, 2020",FALSE
"In voting by mail, “hundreds of thousands of ballots have been rejected for defects and millions more end up missing or in landfills.”",https://www.politifact.com/factchecks/2020/jun/09/j-christian-adams/misleading-claim-millions-absentee-ballots-end-mis/,J. Christian Adams," June 3, 2020 "," June 9, 2020",barely-true
"Says Joe Biden wants to ""defund the police.""",https://www.politifact.com/factchecks/2020/jun/09/donald-trump/biden-campaign-says-he-doesnt-want-defund-police/,Donald Trump," June 7, 2020 "," June 9, 2020",FALSE
“These ‘peaceful’ protesters burned these horses to death.”,https://www.politifact.com/factchecks/2020/jun/08/facebook-posts/no-evidence-fire-or-burned-horses-after-truck-driv/,Facebook posts," June 1, 2020 "," June 8, 2020",FALSE
“The 9/11 Memorial in NYC was just defaced with graffiti.”,https://www.politifact.com/factchecks/2020/jun/08/facebook-posts/no-911-memorial-new-york-city-wasnt-defaced/,Facebook posts," June 5, 2020 "," June 8, 2020",FALSE
A photo shows “the Lincoln Memorial. His head damaged and defaced.”,https://www.politifact.com/factchecks/2020/jun/08/viral-image/photo-showing-damaged-lincoln-memorial-graffiti-wa/,Viral image," June 6, 2020 "," June 8, 2020",FALSE
“There were not chemical irritants” used to clear a crowd. Pepper balls are “not a chemical irritant.”,https://www.politifact.com/factchecks/2020/jun/08/william-barr/barr-says-federal-police-didnt-use-chemical-irrita/,William Barr," June 7, 2020 "," June 8, 2020",pants-fire
"Says a new law adopted in Texas means property tax bills “are no longer really dependent on your values, it is on (local government) revenue growth.”",https://www.politifact.com/factchecks/2020/jun/08/dan-patrick/are-texans-property-taxes-no-longer-really-depende/,Dan Patrick," May 24, 2020 "," June 8, 2020",barely-true
“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,https://www.politifact.com/factchecks/2020/jun/08/glenn-grothman/glenn-grothman-target-about-tie-between-vitamin-d-/,Glenn Grothman," May 21, 2020 "," June 8, 2020",TRUE
"“A declaration of disaster, has been issued for the state of Texas. House Bill 1177 Allows any Texan who can legally own a firearm to carry their handgun, open or concealed, for a full week after a state or natural disaster is declared.”",https://www.politifact.com/factchecks/2020/jun/05/facebook-posts/no-texans-cant-tote-guns-under-disaster-declaratio/,Facebook posts," June 1, 2020 "," June 5, 2020",barely-true
Text from someone “connected” to Raleigh police: “antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs.”,https://www.politifact.com/factchecks/2020/jun/05/chain-message/no-antifa-had-no-plans-raid-wealthy-raleigh-neighb/,Chain message," June 2, 2020 "," June 5, 2020",FALSE
"The man pictured in a mugshot is not Derek Chauvin, the officer who was recorded kneeling on George Floyd’s neck.",https://www.politifact.com/factchecks/2020/jun/05/viral-image/no-these-two-photos-derek-chauvin-dont-show-two-di/,Viral image," June 4, 2020 "," June 5, 2020",FALSE
“Trump’s star on the Hollywood Walk of Fame has been destroyed.”,https://www.politifact.com/factchecks/2020/jun/05/viral-image/old-photo-trumps-vandalized-walk-fame-star/,Viral image," June 3, 2020 "," June 5, 2020",FALSE
"""Last year, there were nine unarmed black people killed (by law enforcement). Nineteen unarmed white people.”",https://www.politifact.com/factchecks/2020/jun/05/larry-elder/larry-elder-mislabels-statistics-fatal-shootings-p/,Larry Elder," June 2, 2020 "," June 5, 2020",barely-true
“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”,https://www.politifact.com/factchecks/2020/jun/05/viral-image/no-photo-doesnt-prove-coronavirus-hoax/,Viral image," June 3, 2020 "," June 5, 2020",FALSE
"Says police officers in Austin, Texas, have been “authorized to use LIVE ROUNDS, and lethal force” against protesters.",https://www.politifact.com/factchecks/2020/jun/05/tweets/were-austin-police-officers-authorized-use-deadly-/,Tweets," May 31, 2020 "," June 5, 2020",half-true
“This man who was kicked and stomped” was killed by an “antifa murderer.”,https://www.politifact.com/factchecks/2020/jun/05/facebook-posts/no-evidence-man-died-hands-antifa-murderer/,Facebook posts," June 3, 2020 "," June 5, 2020",FALSE
Says a photo shows a memorial vandalized by Black Lives Matter protesters.,https://www.politifact.com/factchecks/2020/jun/04/facebook-posts/vietnam-memorial-was-not-vandalized-black-lives-ma/,Facebook posts," June 3, 2020 "," June 4, 2020",FALSE
Says he’s the one who gave the nickname “Mad Dog” to former Defense Secretary James Mattis.,https://www.politifact.com/factchecks/2020/jun/04/donald-trump/donald-trumps-pants-fire-claim-he-gave-jim-mattis-/,Donald Trump," June 3, 2020 "," June 4, 2020",pants-fire
"“The CEO of the company that owns Wendy’s, Taco Bell, and Pizza Hut donated $400,000 towards Trump’s re-election campaign.”",https://www.politifact.com/factchecks/2020/jun/04/facebook-posts/facebook-post-cites-wrong-fast-food-ceo-big-trump-/,Facebook posts," June 1, 2020 "," June 4, 2020",barely-true
“No tear gas was used and no rubber bullets were used.”,https://www.politifact.com/factchecks/2020/jun/04/kayleigh-mcenany/white-house-says-officers-didnt-fire-tear-gas-rubb/,Kayleigh McEnany," June 3, 2020 "," June 4, 2020",barely-true
“You see suicide rates are skyrocketing now…”,https://www.politifact.com/factchecks/2020/jun/04/tim-murtaugh/theres-no-data-back-claim-skyrocketing-suicides-du/,Tim Murtaugh," May 26, 2020 "," June 4, 2020",FALSE
Says the Obama administration was doing pattern-or-practice investigations of discrimination by police departments and “Donald Trump came in with Jeff Sessions and undid those.”,https://www.politifact.com/factchecks/2020/jun/04/kamala-harris/fact-checking-kamala-harris-claim-about-trump-and-/,Kamala Harris," June 1, 2020 "," June 4, 2020",mostly-true
Photos show cemeteries and war memorials damaged during George Floyd demonstrations.,https://www.politifact.com/factchecks/2020/jun/04/viral-image/only-one-sites-these-photos-was-damaged-during-dem/,Viral image," June 1, 2020 "," June 4, 2020",FALSE
Data show that more white people than black people are shot and killed by police.,https://www.politifact.com/factchecks/2020/jun/03/tiktok-posts/tiktok-video-misleads-police-shooting-data/,TikTok posts," May 29, 2020 "," June 3, 2020",half-true
"Says George Soros said, “I’m going to bring down the United States by funding Black Hate groups. We’ll put them into a mental trap and make them blame white people. The Black community is the easiest to manipulate.”",https://www.politifact.com/factchecks/2020/jun/03/viral-image/george-soros-didnt-say-he-would-bring-down-united-/,Viral image," May 30, 2020 "," June 3, 2020",FALSE
Says Joe Biden’s presidential campaign donated $20 million to bail out protesters.,https://www.politifact.com/factchecks/2020/jun/03/facebook-posts/no-joe-bidens-campaign-didnt-donate-20-million-bai/,Facebook posts," May 31, 2020 "," June 3, 2020",FALSE
"“Piles of bricks are being staged in cities around the country, indicating riots are planned.”",https://www.politifact.com/factchecks/2020/jun/03/blog-posting/fact-checking-theories-about-bricks-and-black-live/,Bloggers," May 31, 2020 "," June 3, 2020",barely-true
"“White busses marked ‘Soros Riot Dance Squad’ spotted in Michigan: It’s official, the riots are staged.”",https://www.politifact.com/factchecks/2020/jun/03/blog-posting/photos-george-soros-riot-dance-squad-buses-were-do/,Bloggers," June 2, 2020 "," June 3, 2020",pants-fire
"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”",https://www.politifact.com/factchecks/2020/jun/03/facebook-posts/claim-florida-undercounting-covid-19-deaths-uses-f/,Facebook posts," May 27, 2020 "," June 3, 2020",FALSE
"Says Donald Trump got “exposed for raping a 13-year-old"" in retaliation for law enforcement officers “killing black people.”",https://www.politifact.com/factchecks/2020/jun/03/facebook-posts/no-proof-donald-trump-raped-13-year-old-girl-1994/,Facebook posts," May 31, 2020 "," June 3, 2020",FALSE
"If protesters blocking the road “start banging on your windows, threatening you and trying to get in your vehicle,” it is legal to “hit the gas and plow through them.”",https://www.politifact.com/factchecks/2020/jun/03/facebook-posts/not-legal-hit-gas-and-plow-through-menacing-protes/,Facebook posts," May 31, 2020 "," June 3, 2020",FALSE
Says “a rioter accidentally dropped” a riot manual with detailed instructions.,https://www.politifact.com/factchecks/2020/jun/02/facebook-posts/riot-manual-misinformation-2015/,Facebook posts," May 31, 2020 "," June 2, 2020",pants-fire
A photo shows Adolf Hitler holding a Bible like Donald Trump.,https://www.politifact.com/factchecks/2020/jun/02/viral-image/photo-adolf-hitler-was-doctored/,Viral image," June 2, 2020 "," June 2, 2020",FALSE
"If President Trump decides to deploy the U.S. military domestically, he would be “mobilizing U.S. military troops on American soil for the first time since 1807.”",https://www.politifact.com/factchecks/2020/jun/02/erin-burnett/erin-burnett-corrects-inaccurate-statements-about-/,Erin Burnett," June 1, 2020 "," June 2, 2020",FALSE
Zoo animals were released during protests in Chicago.,https://www.politifact.com/factchecks/2020/jun/02/viral-image/no-these-arent-lincoln-park-zoo-animals-loose-chic/,Viral image," June 1, 2020 "," June 2, 2020",pants-fire
Video shows Seattle police in uniform “vandalizing” a building “to frame protesters.”,https://www.politifact.com/factchecks/2020/jun/02/facebook-posts/Seattle-police-video-shows-burglary-not-framing/,Facebook posts," May 31, 2020 "," June 2, 2020",FALSE
Says President Trump tweeted that he spoke with George Floyd’s family and said they were “honored” to hear from him.,https://www.politifact.com/factchecks/2020/jun/02/facebook-posts/no-trump-didnt-tweet-george-floyds-family-was-hono/,Facebook posts," May 31, 2020 "," June 2, 2020",pants-fire
“Rocks being dropped off in cages in LA for rioters. Compliments of George Soros.”,https://www.politifact.com/factchecks/2020/jun/02/viral-image/photo-shows-security-barriers-not-rocks-george-sor/,Viral image," June 1, 2020 "," June 2, 2020",FALSE
"Says officials in Washington, D.C., are “jamming all communications.”",https://www.politifact.com/factchecks/2020/jun/02/tweets/how-false-conspiracy-theory-about-washington-commu/,Tweets," June 1, 2020 "," June 2, 2020",FALSE
BLM Fresno riots will begin at 4 p.m. in River Park on 06/02/20,https://www.politifact.com/factchecks/2020/jun/02/facebook-posts/black-lives-matter-activists-are-not-planning-riot/,Facebook posts," June 1, 2020 "," June 2, 2020",FALSE
Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,https://www.politifact.com/factchecks/2020/jun/02/blog-posting/fact-checking-claims-pelosi-tried-add-abortion-fun/,Bloggers," May 13, 2020 "," June 2, 2020",barely-true
"“The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”",https://www.politifact.com/factchecks/2020/jun/02/scott-manley/dane-county-reopening-plan-does-not-totally-elimin/,Scott Manley," May 19, 2020 "," June 2, 2020",barely-true
